Number of Parts,Number of Colors,Time
10,1,0.0002
10,3,0.0163
10,5,0.0097
10,7,0.013
10,9,0.0133
20,1,0.0005
20,5,0.1078
20,9,0.0341
20,13,0.0194
20,17,0.0412
30,1,0.0011
30,7,0.1325
30,13,0.3648
30,19,0.0622
30,25,0.0627
40,1,0.0022
40,9,0.8585
40,17,0.3055
40,25,0.1439
40,33,0.1501
50,1,0.004
50,11,9.8276
50,21,0.2678
50,31,0.284
50,41,0.275
60,1,0.0058
60,13,15.5026
60,25,0.7695
60,37,0.5411
60,49,0.5369
70,1,0.009
70,15,31.7679
70,29,5.8694
70,43,0.9069
70,57,0.949
80,1,0.0132
80,17,9.6023
80,33,1.5989
80,49,1.601
80,65,1.5777
90,1,0.0184
90,19,86.2554
90,37,14.5507
90,55,2.2987
90,73,2.3216
100,1,0.0245
100,21,39.8509
100,41,11.4632
100,61,3.3927
100,81,3.3993
110,1,0.0329
110,23,337.7125
110,45,4.7236
110,67,4.6416
110,89,4.6185
120,1,0.0382
120,25,94.8743
120,49,5.9737
120,73,5.9755
120,97,5.9365
130,1,0.0513
130,27,72.1595
130,53,16.6347
130,79,7.558
130,105,7.5915
140,1,0.0581
140,29,165.0784
140,57,22.6711
140,85,10.0092
140,113,10.8851
150,1,0.0688
150,31,584.3187
150,61,163.6899
150,91,11.6817
150,121,11.7665
